,IATA,airport,city,country,pagerank
3938,PIA,Peoria Regional,Peoria,United States,0.000106504332368
1762,CJS,Abraham Gonzalez Intl,Ciudad Juarez,Mexico,0.000106352034587
1970,DUD,Dunedin,Dunedin,New Zealand,0.000106316486133
4882,CNP,Neerlerit Inaat Airport,Neerlerit Inaat,Greenland,0.000106030812624
2794,VLN,Arturo Michelena Intl,Valencia,Venezuela,0.000106030201986
147,YUY,Rouyn Noranda,Rouyn,Canada,0.000106015304914
74,YIO,Pond Inlet,Pond Inlet,Canada,0.000105836385697
4517,MRA,Misratah Airport,Misratah,Libya,0.000105818940536
137,YSY,Sachs Harbour,Sachs Harbour,Canada,0.000105813574294
3776,EYW,Key West Intl,Key West,United States,0.000105787635494
2639,BAQ,Ernesto Cortissoz,Barranquilla,Colombia,0.000105766857727
2428,USH,Ushuaia Malvinas Argentinas,Ushuaia,Argentina,0.000105581064968
4356,MOU,Mountain Village Airport,Mountain Village,United States,0.000105423391346
5492,ACR,Araracuara Airport,Araracuara,Colombia,0.000105395896154
3809,PKN,Iskandar,Pangkalan Bun,Indonesia,0.000105369186668
4782,ZEM,Eastmain River Airport,Eastmain River,Canada,0.000105246304033
2828,EIS,Terrance B Lettsome Intl,Tortola,British Virgin Islands,0.000105057804094
896,HAH,Prince Said Ibrahim,Moroni,Comoros,0.000104957290577
5210,WIN,Winton Airport,Winton,Australia,0.000104902790114
5363,LRH,La Rochelle-Ile de Re,La Rochelle,France,0.000104727707338
1391,RNS,St Jacques,Rennes,France,0.00010459131344
2728,IQT,Coronel Francisco Secada Vignetta Intl,Iquitos,Peru,0.000104556849962
4813,YPJ,Aupaluk Airport,Aupaluk,Canada,0.000104448051314
3720,COS,City Of Colorado Springs Muni,Colorado Springs,United States,0.000104421088942
4188,JZH,Jiuzhaigou Huanglong,Jiuzhaigou,China,0.000104417857468
4235,SGF,Springfield Branson Natl,Springfield,United States,0.000104398559048
3300,KHG,Kashi,Kashi,China,0.000104371516705
2427,RGL,Rio Gallegos,Rio Gallegos,Argentina,0.000104256706999
1669,ASR,Erkilet,Kayseri,Turkey,0.000104242322307
1257,BIQ,Anglet,Biarritz-bayonne,France,0.000104135472089
4152,MVY,Martha\\'s Vineyard,Vineyard Haven MA,United States,0.000104105545639
1923,TBU,Fua Amotu Intl,Tongatapu,Tonga,0.000104090348371
4741,LKN,Leknes Airport,Leknes,Norway,0.000104070197594
5260,TXN,Tunxi International Airport,Huangshan,China,0.000104031634253
4799,YPO,Peawanuck Airport,Peawanuck,Canada,0.000103944089121
5140,FLS,Flinders Island Airport,Flinders Island,Australia,0.000103808894421
2922,BHO,Bhopal,Bhopal,India,0.000103746664818
1191,LEI,Almeria,Almeria,Spain,0.000103627937122
5287,YNJ,Yanji Airport,Yanji,China,0.000103603845256
5931,LCR,La Chorrera Airport,La Chorrera,Colombia,0.000103540117143
1935,TIH,Tikehau,Tikehau,French Polynesia,0.000103365005348
1987,PMR,Palmerston North,Palmerston North,New Zealand,0.000103354645955
4807,YMT,Chapais Airport,Chibougamau,Canada,0.000103250936563
5020,LBD,Khudzhand Airport,Khudzhand,Tajikistan,0.000103147226688
917,SVB,Sambava,Sambava,Madagascar,0.000103015924189
5273,MIG,Mianyang Airport,Mianyang,China,0.000103000201169
3033,LPQ,Luang Phabang Intl,Luang Prabang,Laos,0.000102979301465
4907,RNL,Rennell/Tingoa Airport,Rennell Island,Solomon Islands,0.000102973946412
5410,BNY,Bellona,Bellona,Solomon Islands,0.000102973946412
4424,LOD,Longana Airport,Longana,Vanuatu,0.000102872485159
3933,FWA,Fort Wayne,Fort Wayne,United States,0.000102593063219
4789,YVZ,Deer Lake Airport,Deer Lake,Canada,0.000102444968265
4246,SBN,South Bend Rgnl,South Bend,United States,0.000102443457475
5159,IRG,Lockhart River Airport,Lockhart River,Australia,0.000102429206414
151,YVO,Val D Or,Val D'or,Canada,0.000102401798411
1432,KLX,Kalamata,Kalamata,Greece,0.00010235721909
2821,BON,Flamingo,Kralendijk,Netherlands Antilles,0.000102353537135
1791,MZT,General Rafael Buelna Intl,Mazatlan,Mexico,0.000102318194213
3826,SOC,Adi Sumarmo Wiryokusumo,Solo City,Indonesia,0.000102158099759
4628,LKG,Lokichoggio Airport,Lokichoggio,Kenya,0.000102005828132
4861,YHA,Port Hope Simpson Airport,Port Hope Simpson,Canada,0.000101958913537
5668,EEK,Eek Airport,Eek,United States,0.000101856131071
6770,NME,Nightmute Airport,Nightmute,United States,0.000101856131071
5674,WTL,Tuntutuliak Airport,Tuntutuliak,United States,0.000101856131071
5670,KWT,Kwethluk Airport,Kwethluk,United States,0.000101856131071
2863,DOK,Donetsk Intl,Donetsk,Ukraine,0.000101778067462
4105,MSO,Missoula Intl,Missoula,United States,0.000101741387529
998,LLW,Kamuzu Intl,Lilongwe,Malawi,0.000101659755959
5118,BUC,Burketown Airport,Burketown,Australia,0.000101551096211
4244,GUW,Atyrau,Atyrau,Kazakhstan,0.000101347459303
1519,TRS,Ronchi Dei Legionari,Ronchi De Legionari,Italy,0.00010122583847
4258,NNM,Naryan-Mar,Naryan-Mar,Russia,0.000100939142765
5761,TLA,Teller Airport,Teller,United States,0.000100920056078
3204,KBR,Sultan Ismail Petra,Kota Bahru,Malaysia,0.000100913002958
4846,NTG,Nantong Airport,Nantong,China,0.000100843189929
4877,JNN,Nanortalik Heliport,Nanortalik,Greenland,0.000100656169627
145,YUT,Repulse Bay,Repulse Bay,Canada,0.000100585886676
4890,MXH,Moro Airport,Moro,Papua New Guinea,0.00010057988462
2701,PBM,Johan A Pengel Intl,Zandery,Suriname,0.000100428087207
4754,PPW,Papa Westray Airport,Papa Westray,United Kingdom,0.000100154790956
6193,NNB,Santa Ana Airport,Santa Ana,Solomon Islands,0.000100131848627
6191,RNA,Ulawa Airport,Ulawa,Solomon Islands,0.000100131848627
134,YSM,Fort Smith,Fort Smith,Canada,0.000100116821889
2168,UET,Quetta,Quetta,Pakistan,0.000100095181511
2853,GDX,Sokol,Magadan,Russia,0.000100074006202
3465,PNS,Pensacola Rgnl,Pensacola,United States,0.000100068508463
2871,MMK,Murmansk,Murmansk,Russia,9.99850131822e-05
967,POL,Pemba,Pemba,Mozambique,9.99161305537e-05
5689,VEE,Venetie Airport,Venetie,United States,9.98508839479e-05
5503,ARC,Arctic Village Airport,Arctic Village,United States,9.98508839479e-05
2935,NAG,Dr Ambedkar Intl,Nagpur,India,9.97999047155e-05
5822,STG,St. George Airport,St. George,United States,9.96556028785e-05
3327,SNP,St Paul Island,St. Paul Island,United States,9.96556028785e-05
641,KKN,Hoybuktmoen,Kirkenes,Norway,9.96344872545e-05
1887,VRA,Juan Gualberto Gomez Intl,Varadero,Cuba,9.94907610505e-05
1619,SJJ,Sarajevo,Sarajevo,Bosnia and Herzegovina,9.94694034729e-05
2635,PUU,Tres De Mayo,Puerto Asis,Colombia,9.94022215396e-05
2549,SJP,Sao Jose Do Rio Preto,Sao Jose Do Rio Preto,Brazil,9.9340487104e-05
6796,YAB,Arctic Bay Airport,Arctic Bay,Canada,9.93281486343e-05
1183,RJK,Rijeka,Rijeka,Croatia,9.9289967615e-05
6743,RSJ,Rosario Seaplane Base,Rosario,United States,9.92544343554e-05
577,MST,Maastricht,Maastricht,Netherlands,9.91084215223e-05
